Title,Avg rating,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type
The Resistance: Avalon,7.52,20.13,2012,1.74,5,10,30,30,13,Party
Sagrada,7.48,39.95,2017,1.92,1,4,30,45,14,Abstract
Sekigahara: The Unification of Japan,8,82.34,2011,2.79,2,2,180,180,14,Strategy
Dune,7.96,50,2019,3.99,2,6,120,180,14,Strategy
The Red Cathedral,7.73,38.25,2020,2.82,1,4,80,80,10,Strategy
Ora et Labora,7.69,69.99,2011,3.89,1,4,60,180,13,Strategy
A Game of Thrones: The Board Game (Second Edition),7.54,40.99,2011,3.72,3,6,120,240,14,Strategy
Ticket to Ride: Nordic Countries,7.63,46.86,2007,1.97,2,3,30,60,8,Family
Clank!: Catacombs,8.33,58.95,2022,2.51,2,4,45,90,13,Family
Star Wars: Outer Rim,7.73,60.85,2019,2.52,1,4,120,180,14,Thematic
Dead of Winter: A Crossroads Game,7.48,35.65,2014,3.01,2,5,60,120,13,Thematic
Suburbia,7.48,69.95,2012,2.77,1,4,60,90,8,Strategy
Commands & Colors: Ancients,7.77,58.04,2006,2.69,2,2,60,60,12,Strategy
Meadow,7.77,29.47,2021,2.23,1,4,60,90,10,Family
Darwin's Journey,8.21,51.4,2023,3.85,1,4,60,120,14,Strategy
Earth,7.75,39.8,2023,2.87,1,5,45,90,13,Strategy
Space Base,7.55,36.01,2018,2.12,2,5,60,60,14,Family
Captain Sonar,7.52,63.49,2016,2.19,2,8,45,60,14,Party
Go,7.65,30.99,-2200,3.93,2,2,30,180,8,Abstract
Village,7.5,159.99,2011,3.07,2,4,60,90,12,Strategy
Welcome to the Moon,8.01,45.45,2021,2.52,1,6,25,30,10,Family
Paleo,7.72,56.87,2020,2.63,1,4,45,60,10,Strategy
Planet Unknown,7.91,129.99,2022,2.23,1,6,60,80,10,Strategy
Splendor,7.42,22.61,2014,1.78,2,4,30,30,10,Family
Modern Art,7.49,113.43,1992,2.29,3,5,45,45,10,Strategy
Star Realms: Colony Wars,7.81,17.95,2015,1.9,2,2,20,20,12,Strategy
Tichu,7.58,13.02,1991,2.34,4,4,60,60,10,Strategy
Carcassonne,7.41,22.67,2000,1.9,2,5,30,45,7,Family
Coimbra,7.63,47.79,2018,3.25,2,4,60,90,14,Strategy
Near and Far,7.69,59.6,2017,2.89,2,4,90,120,13,Thematic
Combat Commander: Europe,7.95,60.48,2006,3.25,2,2,60,180,12,Strategy
Ankh: Gods of Egypt,7.83,70.56,2021,3.09,2,5,90,90,14,Strategy
Calico,7.56,37.79,2020,2.17,1,4,30,45,10,Abstract
Nations,7.61,112.95,2013,3.55,1,5,40,200,14,Strategy
Dinosaur Island,7.58,49.99,2017,3.04,1,4,90,120,8,Strategy
Under Falling Skies,7.69,27.45,2020,2.4,1,1,20,40,12,Strategy
Wonderland's War,8.13,48.38,2022,3,2,5,45,125,13,Strategy
Nidavellir,7.61,39.99,2020,2.1,2,5,45,45,10,Strategy
Paths of Glory,8.05,74.95,1999,3.85,2,2,480,480,14,Strategy
YINSH,7.71,35.88,2003,2.66,2,2,30,60,9,Abstract
My City,7.67,34.95,2020,1.99,2,4,30,30,10,Family
Ticket to Ride,7.4,43.97,2004,1.83,2,5,30,60,8,Family
Cyclades,7.51,70.56,2009,2.82,2,5,60,90,13,Strategy
Aeon's End: Legacy,8.07,101.68,2019,2.86,1,4,45,90,14,Strategy
Codenames: Duet,7.45,24.95,2017,1.36,2,2,15,30,11,Family
La Granja,7.61,45.35,2014,3.57,1,4,90,120,12,Strategy
Secret Hitler,7.51,40,2016,1.74,5,10,45,45,13,Party
The Taverns of Tiefenthal,7.58,58.49,2019,2.67,2,4,60,60,12,Family
Legendary: A Marvel Deck Building Game,7.53,64.99,2012,2.43,1,5,30,60,14,Thematic
Deception: Murder in Hong Kong,7.46,31.84,2014,1.58,4,12,20,20,14,Party
Hanamikoji,7.5,15.09,2013,1.69,2,2,15,15,10,Family
Century: Golem Edition,7.61,39.99,2017,1.69,2,5,30,45,8,Family
MicroMacro: Crime City,7.53,41.95,2020,1.11,1,4,15,45,12,Family
Zombicide: Black Plague,7.62,87.99,2015,2.49,1,6,60,180,14,Thematic
Roll Player,7.46,48.86,2016,2.43,1,4,60,90,10,Strategy
The Princes of Florence,7.51,65,2000,3.24,1,5,75,100,12,Strategy
Sushi Go Party!,7.4,19.97,2016,1.3,2,8,20,20,8,Family
Fantasy Realms,7.53,19.99,2017,1.8,2,6,20,20,14,Family
Flamme Rouge,7.5,62.99,2016,1.68,2,4,30,45,8,Family
Kanban: Driver's Edition,7.79,52.16,2014,4.36,2,4,90,120,12,Strategy
KLASK,7.63,59.99,2014,1.06,2,2,10,10,8,Family
"Unmatched: Battle of Legends, Volume One",7.76,30.22,2019,1.93,2,4,20,40,9,Strategy
Detective: A Modern Crime Board Game,7.68,27.43,2018,2.75,1,5,120,180,16,Thematic
Santorini,7.37,40.09,2016,1.73,2,4,20,20,8,Abstract
Goa: A New Expedition,7.56,55.18,2004,3.37,2,4,90,90,12,Strategy
Isle of Skye: From Chieftain to King,7.4,44.99,2015,2.25,2,5,30,50,8,Family
Chronicles of Crime,7.61,37.77,2018,2.05,1,4,60,90,12,Thematic
Clash of Cultures: Monumental Edition,8.38,99.95,2021,3.65,2,4,180,240,14,Strategy
Glory to Rome,7.49,24.18,2005,2.93,2,5,60,60,12,Abstract
Blood on the Clocktower,8.33,140.66,2022,2.96,5,20,30,120,15,Party
Hallertau,7.92,83.15,2020,3.3,1,4,50,140,12,Strategy
Pulsar 2849,7.67,54,2017,3.35,2,4,60,90,14,Strategy
Great Western Trail: Argentina,8.46,52.49,2022,3.88,1,4,75,150,12,Strategy
7 Wonders (Second Edition),7.87,39.99,2020,2.3,3,7,30,30,10,Family
Hero Realms,7.53,23.5,2016,1.86,2,4,20,20,12,Strategy
1830: Railways & Robber Barons,7.87,76.99,1986,4.16,2,7,180,360,14,Strategy
Camel Up (Second Edition),7.59,34,2018,1.46,3,8,30,45,8,Family
Shogun,7.52,55.18,2006,3.36,3,5,90,120,12,Strategy
Samurai,7.46,38.59,1998,2.47,2,4,30,60,10,Strategy
Galaxy Trucker,7.35,27.95,2007,2.33,2,4,60,60,10,Thematic
Vindication,7.8,169.99,2018,3.08,2,5,45,150,14,Strategy
1960: The Making of the President,7.62,64.26,2007,3.2,2,2,90,120,12,Strategy
Viticulture,7.51,48.63,2013,2.94,2,6,90,90,13,Strategy
Western Legends,7.61,169,2018,2.83,2,6,60,90,14,Thematic
Tapestry,7.45,70.97,2019,2.93,1,5,90,120,12,Strategy
Endless Winter: Paleoamericans,7.79,369.99,2022,3.28,1,4,60,120,12,Strategy
